,id,question_format,ANS,LO,Content book,page,category_1,big_category,Unnamed: 8
0,29,"What is the correct way to create a function in Python? 
A.function myfunction(): 
B.def myFunction():
C.create myFunction(): 
D.-1
E.-1
F.-1)",['B. def myFunction():'],LO3,CO4.6,47,4.6,4,
1,35,"Which of the following statements best describes the behavior of the random.shuffle(mylist) as being used in the below code fragment?  import random mylist = [10, 20, 30] random.shuffle(mylist) print(mylist)   
A. return a list where elements 10, 20 and 30 would be at random positions.  
B.It'll not modify the list. This function is just a placeholder and yet to be implemented.
C.shuffle the elements of the list in-place. 
D.shuffle the elements for the no. of times equal to the size of the list.
E.-1
F.-1)",['C. shuffle the elements of the list in-place.'],"LO1,LO3, LO6","CO1.5, CO4.5, CO8.1","6-7,46, 91",4.5,4,Không có hàm shuffle trong sách
2,125,"What value be in the variable x when the following statement is executed x = int(98.6) 
A.100 
B.99
C.98 
D.6
E.-1
F.-1)",['C'],LO2,"CO2.2, CO2.10","20, 25-26",4.3,4,
3,148,"Which Python keyword indicates the start of a function definition? 
A.help 
B.rad
C.break 
D.def
E.-1
F.-1)",['D. def'],LO3,CO4.6,47,4.6,4,
4,149,"In Python, how do you indicate the end of the block of code that makes up the function?  
A.You put a # character at the end of the last line of the function 
B.You de-indent a line of code to the same indent level as the def keyword
C.You add a line that has at least 10 dashes 
D.You put the colon character (:) in the first column of a line
E.-1
F.-1)",['B. You de-indent a line of code to the same indent level as the def keyword'],LO3,CO4.6,47,4.6,4,
5,150,"In Python what is the raw_input() feature best described as? 
A.A conditional statement 
B.A data structure that can hold multiple values using strings as keys
C.A built-in function 
D.A reserved word
E.-1
F.-1)",['C. A built-in function'],LO2,CO2.10,25,4.2,4,
6,151,"What does the following code print out? def thing(): print('Hello')  print('There') 
A.thing 
B.Hello
C.There 
D.There Hello def thing
E.-1
F.-1)",['C. There'],"LO1, LO3","CO1.5, CO4.6","6-7, 47",4.6,4,
7,152,"In the following Python code, which of the following is an ""argument"" to a function? x = 'banana' y = max(x) print(y) print(x)  
A.y 
B.x
C.print 
D.max
E.-1
F.-1)",['B. x'],"LO1, LO2, LO3","CO1.5, CO2.2, CO4.2,CO4.9","6-7, 20, 43, 49-50",4.9,4,
8,153,"What will the following Python code print out? def func(x) : print(x) func(10) func(20) 
A.10 20 
B.x 10
C.x 20 
D.x x
E.func func
F.-1)",['A. 10 20'],"LO1, LO3","CO1.5, CO4.6","6-7, 47",4.9,4,
9,154,"Which line of the following Python program is useless? def stuff(): print('Hello') return print('World') 
A.stuff() 
B.print('Hello')
C.def stuff(): 
D.stuff()
E.print('World')
F.return)","[""E. print('World')""]","LO1, LO3","CO1.5, CO4.10","6-7, 52",4.1,4,Chưa biết print('World') trong hay ngoài hàm stuff()
