id,question_format,ANS
29,"What is the correct way to create a function in Python? 
A.function myfunction(): 
B.def myFunction():
C.create myFunction(): 
D.-1
E.-1
F.-1)",['B. def myFunction():']
35,"Which of the following statements best describes the behavior of the random.shuffle(mylist) as being used in the below code fragment?  import random mylist = [10, 20, 30] random.shuffle(mylist) print(mylist)   
A. return a list where elements 10, 20 and 30 would be at random positions.  
B.It'll not modify the list. This function is just a placeholder and yet to be implemented.
C.shuffle the elements of the list in-place. 
D.shuffle the elements for the no. of times equal to the size of the list.
E.-1
F.-1)",['C. shuffle the elements of the list in-place.']
125,"What value be in the variable x when the following statement is executed x = int(98.6) 
A.100 
B.99
C.98 
D.6
E.-1
F.-1)",['C']
148,"Which Python keyword indicates the start of a function definition? 
A.help 
B.rad
C.break 
D.def
E.-1
F.-1)",['D. def']
149,"In Python, how do you indicate the end of the block of code that makes up the function?  
A.You put a # character at the end of the last line of the function 
B.You de-indent a line of code to the same indent level as the def keyword
C.You add a line that has at least 10 dashes 
D.You put the colon character (:) in the first column of a line
E.-1
F.-1)",['B. You de-indent a line of code to the same indent level as the def keyword']
150,"In Python what is the raw_input() feature best described as? 
A.A conditional statement 
B.A data structure that can hold multiple values using strings as keys
C.A built-in function 
D.A reserved word
E.-1
F.-1)",['C. A built-in function']
151,"What does the following code print out? def thing(): print('Hello')  print('There') 
A.thing 
B.Hello
C.There 
D.There Hello def thing
E.-1
F.-1)",['C. There']
152,"In the following Python code, which of the following is an ""argument"" to a function? x = 'banana' y = max(x) print(y) print(x)  
A.y 
B.x
C.print 
D.max
E.-1
F.-1)",['B. x']
153,"What will the following Python code print out? def func(x) : print(x) func(10) func(20) 
A.10 20 
B.x 10
C.x 20 
D.x x
E.func func
F.-1)",['A. 10 20']
154,"Which line of the following Python program is useless? def stuff(): print('Hello') return print('World') 
A.stuff() 
B.print('Hello')
C.def stuff(): 
D.stuff()
E.print('World')
F.return)","[""E. print('World')""]"
155,"What will the following Python program print out? def greet(lang): if lang == 'es': return 'Hola' elif lang == 'fr': return 'Bonjour' else: return 'Hello'  print(greet('fr'),'Michael')   
A.Bonjour Michael 
B.Hello Michael
C.def Michael 
D.Hola
E.Bonjour
F.Hello Michael)",['A. Bonjour Michael']
156,"What does the following Python code print out? (Note that this is a bit of a trick question and the code has what many would consider to be a flaw/bug - so read carefully). def addtwo(a, b): added = a + b return a x = addtwo(2, 7) print(x)   
A.addtwo 
B.2
C.9 D> Traceback 
D.-1
E.-1
F.-1)",['B. 2']
157,"What is the most important benefit of writing your own functions? 
A.To avoid having more than 10 lines of sequential code without an indent or de-indent 
B.Following the rule that whenever a program is more than 10 lines you must use a function
C.Following the rule that no function can have more than 10 statements in it 
D.Avoiding writing the same non-trivial code more than once in your program
E.-1
F.-1)",['D. Avoiding writing the same non-trivial code more than once in your program']
169,"What does the following Python program print out? x = '40' y = int(x) + 2 print(y) 
A.42 
B.x2
C.402 
D.int402
E.-1
F.-1",['A. 42']
252,"What is the default return value for a function that does not return any value explicitly? 
A.none
B.int
C.double 
D.public
E.nan
F.-1)",['A. None']
253,"Which of the following items are present in the function header? 
A.function name 
B.function name and parameter list
C.parameter list 
D.return value
E.-1
F.-1)",['B. function name and parameter list']
